epoch;loss;val_loss
0;1.7065626792313249;0.9488664723577953
1;0.5900761802095317;0.42362538405827116
2;0.26459804782026325;0.2112507043140275
3;0.16550188523467718;0.17543941204036986
4;0.10629270224775181;0.19174670800566673
5;0.08487249681582817;0.14973517134785652
6;0.06644229637829473;0.18613697819056965
7;0.049939883828400304;0.16152338080462955
8;0.039566333561923246;0.1475189368994463
9;0.024012401821067068;0.12408326581741373
10;0.021198596663288872;0.13151548589978898
11;0.01732805864243158;0.1582640959615154
12;0.013663816732040727;0.12293582866411834
13;0.011054017132059214;0.12389300426556951
14;0.009797106333020136;0.13518418016887845
15;0.008530623517900864;0.12334255288754191
16;0.007927437974337675;0.12888422040712266
17;0.006769939068833302;0.14715551797832763
18;0.005963235783800779;0.13790362354900157
19;0.005969666448528001;0.14159637086448215
20;0.004904979901988583;0.14358662000103367
21;0.004745122802904523;0.13839899999133887
22;0.00454491926055304;0.14656858053058386
23;0.003998276602633703;0.1452140601662298
24;0.0037584396082888153;0.14908030602548802
25;0.003556174595113992;0.15591849821309248
26;0.0034004451206141703;0.15546708230283998
27;0.003016998416395853;0.16308172211228383
28;0.002809033254056487;0.16752305010422355
29;0.0025568319796782173;0.1737939655958187
30;0.0022752398534848376;0.16707846934774093
31;0.0020559328463544886;0.17605163698040305
32;0.0018208031106427738;0.18160121373477436
33;0.001712359782831437;0.1777623003082616
34;0.0016379052652611178;0.18418476606408754
35;0.00125484377197027;0.1917923101711841
36;0.001103227881425053;0.1929016201978638
37;0.0009794195886054114;0.20403208548114413
38;0.0009184104769255358;0.1989767462724731
39;0.0008530024757463021;0.2029587754181453
40;0.0007215091931120745;0.20599774980828875
41;0.0006684838649501842;0.2069987789506004
42;0.0006162616948363068;0.2118458648522695
43;0.0005795474096581331;0.2146770425495647
44;0.0005405306414398736;0.21462360272804895
45;0.0005012073591385476;0.21450093707868031
46;0.0004781973874590122;0.21781774149054572
47;0.00044588725443498513;0.22059770034892218
48;0.0004186839031179705;0.22169714669386545
49;0.00039795858199419135;0.22077084332704544
